id_usuario,q1_energia_cognitiva,q2_tension_fisica,q3_rumiacion,q4_activacion_negativa,target_perfil_estres
U-0271,1,1,3,2,Burnout
U-0272,1,2,3,2,Burnout
U-0273,1,4,2,2,Burnout
U-0274,1,1,2,2,Burnout
U-0275,3,3,2,3,Burnout
U-0276,3,3,2,1,Burnout
U-0277,3,2,1,2,Burnout
U-0278,2,1,2,2,Burnout
U-0279,1,1,2,1,Burnout
U-0280,1,1,1,2,Burnout
U-0281,1,2,3,3,Burnout
U-0282,1,1,2,3,Burnout
U-0283,1,3,2,1,Hiperactividad_Ansiosa
U-0284,2,2,2,3,Burnout
U-0285,1,2,3,3,Burnout
U-0286,2,2,3,2,Hiperactividad_Ansiosa
U-0287,2,4,3,3,Burnout
U-0288,1,2,3,3,Burnout
U-0289,2,2,2,2,Burnout
U-0290,1,3,1,3,Burnout
U-0291,1,1,3,2,Burnout
U-0292,3,3,1,1,Burnout
U-0293,2,2,2,1,Burnout
U-0294,1,3,3,2,Burnout
U-0295,1,1,3,2,Burnout
U-0296,1,1,3,2,Burnout
U-0297,2,2,2,3,Burnout
U-0298,2,4,3,2,Burnout
U-0299,1,2,2,2,Burnout
U-0300,3,3,2,2,Burnout
U-0301,2,2,3,1,Burnout
U-0302,1,3,1,2,Burnout
U-0303,3,3,3,1,Burnout
U-0304,2,4,1,2,Burnout
U-0305,3,4,2,3,Burnout
U-0306,3,2,3,3,Hiperactividad_Ansiosa
U-0307,3,1,3,1,Burnout
U-0308,3,2,3,3,Burnout
U-0309,1,1,2,2,Burnout
U-0310,2,3,3,3,Burnout
U-0311,3,3,3,1,Burnout
U-0312,1,2,2,2,Burnout
U-0313,3,2,3,1,Burnout
U-0314,1,1,2,2,Burnout
U-0315,2,2,2,3,Burnout
U-0316,1,1,2,3,Burnout
U-0317,2,2,3,3,Burnout
U-0318,2,3,1,2,Burnout
U-0319,2,1,3,2,Burnout
U-0320,1,2,2,2,Burnout
U-0321,2,3,3,2,Burnout
U-0322,2,3,3,2,Burnout
U-0323,2,1,2,1,Burnout
U-0324,1,4,1,2,Burnout
U-0325,3,3,2,3,Burnout
U-0326,3,2,3,3,Burnout
U-0327,1,1,3,2,Burnout
U-0328,1,1,2,3,Burnout
U-0329,2,1,2,2,Burnout
U-0330,1,3,2,3,Burnout
U-0331,1,1,1,2,Burnout
U-0332,2,2,2,2,Burnout
U-0333,2,2,3,3,Burnout
U-0334,2,2,2,1,Burnout
U-0335,1,1,3,3,Burnout
U-0336,1,2,3,3,Burnout
U-0337,1,2,2,2,Burnout
U-0338,2,2,3,3,Burnout
U-0339,3,2,2,2,Burnout
U-0340,3,3,1,3,Burnout
U-0341,2,3,3,1,Burnout
U-0342,2,2,3,2,Burnout
U-0343,3,4,2,3,Burnout
U-0344,2,1,3,2,Burnout
U-0345,2,2,2,2,Burnout
U-0346,3,2,3,3,Burnout
U-0347,2,1,2,2,Burnout
U-0348,1,1,2,2,Burnout
U-0349,2,3,2,3,Burnout
U-0350,2,1,3,1,Burnout
U-0351,3,2,3,1,Fatiga_Fisica
U-0352,3,3,3,2,Burnout
U-0353,2,1,3,2,Burnout
U-0354,2,2,3,1,Burnout
U-0355,2,2,3,1,Burnout
U-0356,2,4,2,1,Burnout
U-0357,2,3,2,2,Burnout
U-0358,2,4,2,3,Burnout
U-0359,3,3,1,2,Burnout
U-0360,1,1,3,2,Burnout
U-0361,3,1,3,1,Burnout
U-0362,3,2,1,1,Burnout
U-0363,2,1,3,2,Burnout
U-0364,2,3,2,1,Burnout
U-0365,2,2,3,2,Burnout
U-0366,3,3,3,3,Fatiga_Fisica
U-0367,1,1,3,2,Burnout
U-0368,1,3,3,2,Burnout
U-0369,1,1,3,2,Burnout
U-0370,1,1,2,2,Burnout
U-0371,1,2,1,3,Burnout
U-0372,1,1,2,2,Burnout
U-0373,1,2,3,3,Burnout
U-0374,1,3,3,2,Burnout
U-0375,2,3,2,2,Burnout
U-0376,1,2,2,3,Burnout
U-0377,2,2,3,2,Burnout
U-0378,1,3,2,3,Burnout
U-0379,2,3,3,2,Burnout
U-0380,2,1,2,2,Burnout
U-0381,3,3,2,2,Burnout
U-0382,3,1,3,1,Burnout
U-0383,2,4,2,3,Burnout
U-0384,2,3,3,1,Burnout
U-0385,1,2,2,2,Burnout
U-0386,2,4,3,2,Hiperactividad_Ansiosa
U-0387,2,3,3,3,Burnout
U-0388,2,1,3,2,Burnout
U-0389,3,2,3,1,Fatiga_Fisica
U-0390,2,2,3,2,Burnout
U-0391,2,2,3,2,Fatiga_Fisica
U-0392,1,4,1,3,Burnout
U-0393,1,3,3,2,Hiperactividad_Ansiosa
U-0394,1,2,3,1,Burnout
U-0395,2,1,3,2,Burnout
U-0396,2,4,2,2,Burnout
U-0397,1,1,3,1,Burnout
U-0398,2,1,3,3,Burnout
U-0399,2,2,2,1,Burnout
U-0400,2,4,2,2,Burnout
U-0401,1,2,2,3,Burnout
U-0402,2,3,2,2,Burnout
U-0403,1,2,3,2,Burnout
U-0404,2,4,3,1,Burnout
U-0405,1,3,3,3,Burnout
U-0406,1,2,3,3,Burnout
U-0407,2,2,2,2,Burnout
U-0408,1,1,2,3,Burnout
U-0409,2,2,3,2,Burnout
U-0410,2,3,3,2,Burnout
U-0411,2,3,2,3,Hiperactividad_Ansiosa
U-0412,1,3,2,3,Burnout
U-0413,2,2,2,3,Burnout
U-0414,1,1,2,1,Burnout
U-0415,2,2,3,2,Burnout
U-0416,3,3,1,3,Burnout
U-0417,3,3,2,3,Burnout
U-0418,2,3,3,2,Burnout
U-0419,1,2,3,3,Hiperactividad_Ansiosa
U-0420,2,3,3,2,Burnout
U-0421,2,1,3,2,Burnout
U-0422,2,2,3,3,Burnout
U-0423,1,2,2,3,Burnout
U-0424,2,1,3,3,Burnout
U-0425,1,1,3,2,Burnout
U-0426,2,1,3,2,Burnout
U-0427,1,4,2,2,Burnout
U-0428,1,3,3,1,Burnout
U-0429,1,3,1,3,Burnout
U-0430,1,1,1,2,Burnout
U-0431,1,3,2,3,Burnout
U-0432,3,1,3,1,Burnout
U-0433,2,3,2,2,Burnout
U-0434,1,1,3,2,Burnout
U-0435,1,1,2,1,Burnout
U-0436,2,3,3,3,Burnout
U-0437,2,2,3,2,Fatiga_Fisica
U-0438,2,1,3,2,Burnout
U-0439,3,4,2,3,Burnout
U-0440,2,3,3,3,Burnout
U-0441,1,1,3,3,Burnout
U-0442,2,3,2,2,Burnout
U-0443,1,1,1,3,Burnout
U-0444,1,2,3,2,Burnout
U-0445,1,4,2,2,Burnout
U-0446,2,1,3,3,Burnout
U-0447,1,1,3,2,Burnout
U-0448,1,2,3,3,Burnout
U-0449,3,2,2,2,Burnout
U-0450,2,2,3,1,Burnout
U-0451,1,3,3,3,Burnout
U-0452,1,3,1,1,Fatiga_Fisica
U-0453,1,4,1,3,Burnout
U-0454,1,1,3,2,Burnout
U-0455,1,3,1,2,Burnout
U-0456,1,3,3,3,Burnout
U-0457,2,2,2,3,Burnout
U-0458,1,4,3,3,Burnout
U-0459,2,1,3,1,Burnout
U-0460,2,1,2,3,Burnout
U-0461,1,1,3,2,Burnout
U-0462,1,2,1,2,Burnout
U-0463,3,2,3,2,Burnout
U-0464,1,2,1,3,Burnout
U-0465,3,4,2,3,Burnout
U-0466,1,4,2,3,Burnout
U-0467,1,2,2,2,Burnout
U-0468,2,3,1,3,Burnout
U-0469,2,1,3,1,Burnout
U-0470,1,1,2,3,Burnout
U-0471,3,2,3,1,Burnout
U-0472,1,1,3,2,Burnout
U-0473,2,4,1,2,Burnout
U-0474,3,1,3,3,Fatiga_Fisica
U-0475,1,4,1,3,Burnout
U-0476,2,2,2,2,Burnout
U-0477,1,1,3,2,Burnout
U-0478,3,2,1,2,Burnout
U-0479,2,1,3,2,Hiperactividad_Ansiosa
U-0480,2,2,3,2,Burnout
U-0481,1,1,2,2,Burnout
U-0482,1,4,3,3,Fatiga_Fisica
U-0483,1,3,2,3,Burnout
U-0484,3,1,3,3,Burnout
U-0485,2,1,3,3,Burnout
U-0486,1,3,3,2,Burnout
U-0487,3,3,3,2,Burnout
U-0488,1,1,3,1,Burnout
U-0489,1,3,3,3,Burnout
U-0490,2,4,3,3,Fatiga_Fisica
U-0491,1,4,2,1,Burnout
U-0492,1,4,3,3,Burnout
U-0493,3,3,3,3,Burnout
U-0494,1,2,3,1,Burnout
U-0495,3,2,3,3,Fatiga_Fisica
U-0496,3,4,2,2,Burnout
U-0497,2,1,3,1,Burnout
U-0498,2,3,3,2,Burnout
U-0499,1,2,2,1,Burnout
U-0500,3,3,3,2,Burnout
U-0501,2,3,3,3,Burnout
U-0502,2,2,2,3,Fatiga_Fisica
U-0503,3,1,1,3,Burnout
U-0504,3,3,3,2,Burnout
U-0505,1,1,2,3,Burnout
U-0506,3,2,3,2,Hiperactividad_Ansiosa
U-0507,2,3,2,2,Burnout
U-0508,2,3,2,1,Burnout
U-0509,1,3,2,2,Burnout
U-0510,1,2,2,3,Burnout
U-0511,1,2,2,2,Fatiga_Fisica
U-0512,1,2,3,3,Burnout
U-0513,2,3,2,2,Burnout
U-0514,3,2,1,3,Burnout
U-0515,3,3,3,2,Burnout
U-0516,1,4,3,3,Burnout
U-0517,3,2,3,2,Burnout
U-0518,3,4,1,2,Burnout
U-0519,1,2,3,3,Burnout
U-0520,1,2,2,2,Burnout
U-0521,3,2,2,2,Burnout
U-0522,1,2,3,2,Hiperactividad_Ansiosa
U-0523,1,3,3,2,Burnout
U-0524,2,1,3,2,Burnout
U-0525,2,2,3,3,Hiperactividad_Ansiosa
U-0526,1,2,3,3,Burnout
U-0527,2,1,2,3,Burnout
U-0528,2,2,1,3,Hiperactividad_Ansiosa
U-0529,1,3,3,1,Burnout
U-0530,2,1,3,3,Burnout
U-0531,2,2,3,1,Hiperactividad_Ansiosa
U-0532,2,2,3,2,Burnout
U-0533,2,2,3,1,Fatiga_Fisica
U-0534,1,2,3,3,Burnout
U-0535,1,2,1,3,Burnout
U-0536,3,3,3,1,Burnout
U-0537,1,4,3,2,Burnout
U-0538,1,2,3,3,Burnout
U-0539,2,3,3,2,Burnout
U-0540,1,1,1,3,Burnout
U-0541,1,3,3,2,Burnout
U-0542,3,3,3,2,Burnout
U-0543,2,3,3,2,Burnout
U-0544,1,3,3,1,Burnout
U-0545,2,3,3,3,Burnout
U-0546,2,3,2,1,Burnout
U-0547,2,3,2,3,Burnout
U-0548,1,3,2,3,Burnout
U-0549,1,3,3,3,Burnout
U-0550,1,3,3,3,Burnout
U-0551,1,3,2,2,Burnout
U-0552,3,2,2,3,Burnout
U-0553,2,1,3,1,Burnout
U-0554,1,3,3,3,Hiperactividad_Ansiosa
U-0555,2,2,3,2,Fatiga_Fisica
U-0556,2,4,3,3,Burnout
U-0557,1,3,2,3,Burnout
U-0558,2,2,1,1,Burnout
U-0559,2,2,2,3,Burnout
U-0560,2,3,2,3,Burnout
U-0561,1,4,2,1,Burnout
U-0562,2,3,2,2,Burnout
U-0563,2,1,2,3,Fatiga_Fisica
U-0564,1,2,3,2,Burnout
U-0565,2,2,3,3,Burnout
U-0566,1,3,2,3,Burnout
U-0567,1,1,2,2,Burnout
U-0568,2,2,1,2,Burnout
U-0569,1,1,3,3,Burnout
U-0570,1,1,3,3,Burnout
U-0571,1,4,2,2,Burnout
U-0572,3,3,2,3,Burnout
U-0573,3,3,1,1,Burnout
U-0574,3,4,2,3,Burnout
U-0575,1,2,3,3,Burnout
U-0576,1,3,2,1,Burnout
U-0577,2,1,3,2,Burnout
U-0578,2,3,3,3,Burnout
U-0579,3,2,3,3,Burnout
U-0580,2,1,3,2,Burnout
U-0581,1,4,3,2,Burnout
U-0582,1,3,3,3,Burnout
U-0583,2,3,3,1,Burnout
U-0584,2,2,2,3,Burnout
U-0585,1,2,3,2,Burnout
U-0586,1,2,1,2,Burnout
U-0587,2,1,2,1,Burnout
U-0588,2,4,3,3,Burnout
U-0589,2,2,3,3,Burnout
U-0590,2,2,3,2,Burnout
U-0591,2,1,2,2,Burnout
U-0592,1,1,3,2,Burnout
U-0593,1,2,2,1,Burnout
U-0594,2,1,2,3,Fatiga_Fisica
U-0595,2,2,3,3,Burnout
U-0596,2,1,3,3,Burnout
U-0597,3,1,3,3,Burnout
U-0598,2,3,3,2,Burnout
U-0599,2,2,3,3,Burnout
U-0600,1,3,3,2,Burnout
U-0601,2,4,3,2,Burnout
U-0602,1,3,3,3,Burnout
U-0603,2,2,2,2,Burnout
U-0604,2,2,3,3,Burnout
U-0605,2,2,1,1,Burnout
U-0606,2,1,2,2,Burnout
U-0607,1,3,1,3,Burnout
U-0608,2,3,3,2,Burnout
U-0609,2,2,3,3,Hiperactividad_Ansiosa
U-0610,3,2,3,1,Burnout
U-0611,2,3,3,3,Burnout
U-0612,2,2,3,3,Burnout
U-0613,1,3,2,1,Burnout
U-0614,1,2,2,2,Burnout
U-0615,2,1,2,2,Hiperactividad_Ansiosa
U-0616,2,2,2,3,Burnout
U-0617,1,1,3,2,Burnout
U-0618,1,1,2,2,Burnout
U-0619,2,4,3,3,Hiperactividad_Ansiosa
U-0620,1,4,3,2,Burnout
U-0621,1,4,3,2,Burnout
U-0622,3,3,2,3,Burnout
U-0623,3,1,3,3,Hiperactividad_Ansiosa
U-0624,2,1,1,3,Burnout
U-0625,1,1,3,3,Burnout
U-0626,2,4,3,1,Burnout
U-0627,1,1,3,2,Burnout
U-0628,1,2,3,2,Fatiga_Fisica
U-0629,2,3,3,3,Burnout
U-0630,1,4,2,3,Burnout
U-0631,2,2,2,3,Burnout
U-0632,1,2,3,2,Burnout
U-0633,2,4,3,3,Fatiga_Fisica
U-0634,2,2,2,1,Burnout
U-0635,3,2,3,3,Burnout
U-0636,2,2,2,2,Burnout
U-0637,1,3,3,3,Burnout
U-0638,2,2,2,1,Hiperactividad_Ansiosa
U-0639,3,2,3,2,Burnout
U-0640,1,2,2,3,Burnout
U-0641,2,3,3,1,Burnout
U-0642,2,3,2,2,Burnout
U-0643,2,2,3,2,Burnout
U-0644,1,2,3,3,Burnout
U-0645,2,3,3,3,Burnout
U-0646,2,3,2,1,Burnout
U-0647,2,3,2,2,Burnout
U-0648,3,1,3,1,Burnout
U-0649,1,4,3,3,Burnout
U-0650,1,2,3,3,Burnout
U-0651,3,1,3,2,Burnout
U-0652,2,2,3,2,Burnout
U-0653,1,3,2,3,Burnout
U-0654,2,2,3,2,Burnout
U-0655,3,1,2,3,Burnout
U-0656,2,2,3,3,Burnout
U-0657,1,1,3,2,Burnout
U-0658,2,3,3,2,Burnout
U-0659,2,2,3,2,Burnout
U-0660,1,2,2,2,Burnout
U-0661,1,4,3,2,Burnout
U-0662,3,3,3,3,Burnout
U-0663,2,2,2,2,Burnout
U-0664,2,3,3,1,Burnout
U-0665,2,1,2,1,Hiperactividad_Ansiosa
U-0666,2,3,2,3,Burnout
U-0667,2,3,1,3,Burnout
U-0668,1,4,3,2,Burnout
U-0669,2,2,3,2,Burnout
U-0670,2,4,3,2,Burnout
U-0671,2,4,1,2,Burnout
U-0672,1,3,1,2,Burnout
U-0673,1,3,2,1,Burnout
U-0674,1,2,3,2,Burnout
U-0675,1,2,3,1,Burnout
U-0676,3,2,3,2,Burnout
U-0677,1,1,3,3,Burnout
U-0678,2,3,3,3,Fatiga_Fisica
U-0679,3,1,1,1,Burnout
U-0680,1,1,1,1,Burnout
U-0681,2,2,3,2,Burnout
U-0682,2,2,2,3,Burnout
U-0683,1,2,3,2,Burnout
U-0684,1,1,2,3,Burnout
U-0685,1,2,3,3,Fatiga_Fisica
U-0686,2,3,3,2,Burnout
U-0687,1,4,3,2,Burnout
U-0688,1,1,1,2,Burnout
U-0689,3,3,3,2,Burnout
U-0690,2,3,3,3,Burnout
U-0691,2,1,2,1,Burnout
U-0692,2,1,2,3,Burnout
U-0693,2,1,1,3,Burnout
U-0694,3,2,2,3,Burnout
U-0695,2,4,3,1,Burnout
U-0696,1,1,2,2,Burnout
U-0697,3,3,3,2,Burnout
U-0698,1,2,3,2,Burnout
U-0699,3,2,3,3,Burnout
U-0700,2,1,3,2,Burnout
U-0701,1,3,2,3,Burnout
U-0702,2,1,2,2,Burnout
U-0703,1,2,2,2,Burnout
U-0704,2,1,3,2,Burnout
U-0705,1,1,3,2,Hiperactividad_Ansiosa
U-0706,2,2,3,1,Burnout
U-0707,2,1,2,1,Burnout
U-0708,2,2,3,2,Burnout
U-0709,1,1,2,2,Burnout
U-0710,2,2,2,2,Burnout
U-0711,1,2,3,2,Burnout
U-0712,2,4,2,2,Burnout
U-0713,1,1,3,2,Burnout
U-0714,2,4,2,2,Burnout
U-0715,1,2,2,3,Burnout
U-0716,1,3,3,3,Burnout
U-0717,2,1,3,1,Burnout
U-0718,2,3,2,2,Hiperactividad_Ansiosa
U-0719,2,1,2,3,Hiperactividad_Ansiosa
U-0720,2,1,3,2,Burnout
U-0721,1,1,3,1,Hiperactividad_Ansiosa
U-0722,3,2,3,3,Burnout
U-0723,1,4,3,1,Burnout
U-0724,2,2,3,2,Burnout
U-0725,2,3,2,2,Burnout
U-0726,1,3,3,2,Burnout
U-0727,3,4,3,1,Burnout
U-0728,1,1,2,2,Burnout
U-0729,1,3,2,2,Burnout
U-0730,1,3,3,3,Burnout
U-0731,2,3,2,3,Burnout
U-0732,2,3,2,2,Burnout
U-0733,1,2,2,1,Burnout
U-0734,2,1,2,2,Burnout
U-0735,2,4,3,3,Burnout
U-0736,3,1,3,1,Burnout
U-0737,2,3,3,1,Burnout
U-0738,2,2,3,1,Burnout
U-0739,2,4,3,3,Burnout
U-0740,2,1,3,2,Burnout
U-0741,1,3,3,2,Burnout
